"Estado","emp","seg","dep","PL","lucros","gov_ca","gov_cf","gov_aud","maior_rem","plr_rva","qde_empregados","desp_investimento","desp_pessoal","Dividendos","Subvenção","Reforço de Capital","Resultado para o Estado Acionista","setor","Nome_estado","REGIAO","gov","result_NA","ROE","PL_formatado","Empresa","cat_ROE","setores_principais","sinal_ROE"
"TO","COMPANHIA IMOBILIÁRIA DO ESTADO DO TOCANTINS - TERRATINS","SETOR IMOBILIÁRIO","Não Dependente",52017534.87,8014173.8,"SIM","SIM","SIM","0","Não",66,NA,5415426.2,0,344570.09,0,-344570.09,"GESTÃO DE ATIVOS","Tocantins","Norte",TRUE,FALSE,0.154066774214285,"    52.017.534,87","COMPANHIA IMOBILIÁRIA DO ESTADO DO TOCANTINS - TERRATINS (TO)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: GESTÃO DE ATIVOS
PL: R$     52.017.534,87
Lucros / Prejuízos no ano: R$     8.014.173,80
ROE: 15.4100%","pos","GESTÃO DE ATIVOS","Positivo"
"TO","AGÊNCIA DE FOMENTO DO ESTADO DO TOCANTINS S/A","FINANCEIRO","Não Dependente",15393630.53,-3286150.95,"SIM","SIM","SIM","0","Não",35,18000,2527737.96,0,0,1700000,-1700000,"FINANCEIRO","Tocantins","Norte",TRUE,FALSE,-0.213474718884266,"    15.393.630,53","AGÊNCIA DE FOMENTO DO ESTADO DO TOCANTINS S/A (TO)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: FINANCEIRO
PL: R$     15.393.630,53
Lucros / Prejuízos no ano: R$    -3.286.150,95
ROE: -21.3500%","neg","FINANCEIRO","Negativo"
"PI","CMTP","TRANSPORTES","Dependente",20200000,236800,"SIM","SIM","NÃO","9400","Não",NA,1900000,3200000,0,4300000,0,-4300000,"TRANSPORTES","Piauí","Nordeste",FALSE,FALSE,0.0117227722772277,"    20.200.000,00","CMTP (PI)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: TRANSPORTES
PL: R$     20.200.000,00
Lucros / Prejuízos no ano: R$       236.800,00
ROE: 1.1700%","pos","TRANSPORTES","Positivo"
"PI","COMPANHIA DE TERMINAIS ALFANDEGADOS DO ESTADO DO PIAUÍ","OUTRO","Dependente",249682.28,1146889.81,"SIM","SIM","SIM","9500","Não",10,0,688146.96,0,0,982100,-982100,"PORTOS E HIDROVIAS","Piauí","Nordeste",TRUE,FALSE,4.5933968962475,"       249.682,28","COMPANHIA DE TERMINAIS ALFANDEGADOS DO ESTADO DO PIAUÍ (PI)
Dependência: Dependente
Possui todas as estruturas de Governança? Sim
Setor: PORTOS E HIDROVIAS
PL: R$        249.682,28
Lucros / Prejuízos no ano: R$     1.146.889,81
ROE: 459.3400%","bem_pos","PORTOS E HIDROVIAS","Positivo"
"PI","EMPRESA DE GESTÃO DE RECURSOS DO ESATDO DO PIAUÍ - EMGERPI","SERVIÇOS PÚBLICOS","Dependente",7065241.88,-18202278.64,"SIM","SIM","NÃO","17985","Não",653,NA,98754659.1,0,82604504,27450819,-110055323,"OUTROS","Piauí","Nordeste",FALSE,FALSE,-2.5763135854593,"     7.065.241,88","EMPRESA DE GESTÃO DE RECURSOS DO ESATDO DO PIAUÍ - EMGERPI (PI)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: OUTROS
PL: R$      7.065.241,88
Lucros / Prejuízos no ano: R$   -18.202.278,64
ROE: -257.6300%","bem_neg","OUTROS","Negativo"
"PI","Companhia de Gás do Piaui - GASPISA","DISTRIBUIÇÃO DE GÁS","Dependente",63007.07,-4187490.46,"SIM","SIM","NÃO","6000","Não",NA,5000,482909.07,0,0,191250,-191250,"DISTRIBUIÇÃO DE GÁS","Piauí","Nordeste",FALSE,FALSE,-66.4606441785025,"        63.007,07","Companhia de Gás do Piaui - GASPISA (PI)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: DISTRIBUIÇÃO DE GÁS
PL: R$         63.007,07
Lucros / Prejuízos no ano: R$    -4.187.490,46
ROE: -6 646.0600%","bem_neg","DISTRIBUIÇÃO DE GÁS","Negativo"
"PI","Agência de Fomento e Desenvolvimento do Estado do Piauí S.A - PIAUÍ FOMENTO","FINANCEIRO","Não Dependente",9262404.5,-1572033.96,"SIM","SIM","SIM","12000","Não",16,1559574.77,1659427.09,0,0,0,0,"FINANCEIRO","Piauí","Nordeste",TRUE,FALSE,-0.169722015487447,"     9.262.404,50","Agência de Fomento e Desenvolvimento do Estado do Piauí S.A - PIAUÍ FOMENTO (PI)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: FINANCEIRO
PL: R$      9.262.404,50
Lucros / Prejuízos no ano: R$    -1.572.033,96
ROE: -16.9700%","neg","FINANCEIRO","Negativo"
"PI","ÁGUAS E ESGOTOS DO PIAUÍ S/A- AGESPISA","SANEAMENTO","Não Dependente",848595621.46,169203653.4,"SIM","SIM","SIM","44670.68","Não",1059,18679370.73,-219366869.37,0,-34408805.47,34408805.47,0,"SANEAMENTO","Piauí","Nordeste",TRUE,FALSE,0.199392560038062,"   848.595.621,46","ÁGUAS E ESGOTOS DO PIAUÍ S/A- AGESPISA (PI)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: SANEAMENTO
PL: R$    848.595.621,46
Lucros / Prejuízos no ano: R$   169.203.653,40
ROE: 19.9400%","pos","SANEAMENTO","Positivo"
"RN","AGÊNCIA DE FOMENTO DO RIO GRANDE DO NORTE S/A","FINANCEIRO","Não Dependente",44603407.14,1561324.34,"SIM","SIM","NÃO","14080.09","Não",NA,139480.58,6230492.31,0,0,0,NA,"FINANCEIRO","Rio Grande do Norte","Nordeste",FALSE,TRUE,0.0350045980814729,"    44.603.407,14","AGÊNCIA DE FOMENTO DO RIO GRANDE DO NORTE S/A (RN)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Não
Setor: FINANCEIRO
PL: R$     44.603.407,14
Lucros / Prejuízos no ano: R$     1.561.324,34
ROE: 3.5000%","pos","FINANCEIRO","Positivo"
"RN","CENTRAIS DE ABASTECIMENTO DO RIO GRANDE DO NORTE - S/A","ABASTECIMENTO","Dependente",586894.15,166315.55,"SIM","SIM","NÃO",NA,"Não",108,159322.35,7844731.22,0,8374826.55,0,-8374826.55,"ABASTECIMENTO","Rio Grande do Norte","Nordeste",FALSE,FALSE,0.283382531585977,"       586.894,15","CENTRAIS DE ABASTECIMENTO DO RIO GRANDE DO NORTE - S/A (RN)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: ABASTECIMENTO
PL: R$        586.894,15
Lucros / Prejuízos no ano: R$       166.315,55
ROE: 28.3400%","pos","ABASTECIMENTO","Positivo"
