"","setor","Estado","n"
"1","ABASTECIMENTO","AC",2
"2","ABASTECIMENTO","CE",1
"3","ABASTECIMENTO","DF",2
"4","ABASTECIMENTO","ES",1
"5","ABASTECIMENTO","GO",2
"6","ABASTECIMENTO","MS",1
"7","ABASTECIMENTO","MT",1
"8","ABASTECIMENTO","PA",1
"9","ABASTECIMENTO","PR",2
"10","ABASTECIMENTO","RJ",2
"11","ABASTECIMENTO","RN",1
"12","ABASTECIMENTO","RS",1
"13","ABASTECIMENTO","SC",1
"14","COMUNICAÇÃO","AL",1
"15","COMUNICAÇÃO","BA",1
"16","COMUNICAÇÃO","MG",1
"17","COMUNICAÇÃO","PB",1
"18","COMUNICAÇÃO","PE",2
"19","COMUNICAÇÃO","RJ",1
"20","COMUNICAÇÃO","SE",1
"21","COMUNICAÇÃO","SP",1
"22","DESENVOLVIMENTO","AC",1
"23","DESENVOLVIMENTO","AM",2
"24","DESENVOLVIMENTO","BA",2
"25","DESENVOLVIMENTO","CE",2
"26","DESENVOLVIMENTO","DF",1
"27","DESENVOLVIMENTO","GO",1
"28","DESENVOLVIMENTO","MA",1
"29","DESENVOLVIMENTO","MG",3
"30","DESENVOLVIMENTO","PA",2
"31","DESENVOLVIMENTO","PB",1
"32","DESENVOLVIMENTO","PE",1
"33","DESENVOLVIMENTO","PI",1
"34","DESENVOLVIMENTO","RR",1
"35","DESENVOLVIMENTO","SC",2
"36","DESENVOLVIMENTO","SE",2
"37","DISTRIBUIÇÃO DE GÁS","AL",1
"38","DISTRIBUIÇÃO DE GÁS","AM",1
"39","DISTRIBUIÇÃO DE GÁS","BA",1
"40","DISTRIBUIÇÃO DE GÁS","CE",1
"41","DISTRIBUIÇÃO DE GÁS","GO",1
"42","DISTRIBUIÇÃO DE GÁS","MA",1
"43","DISTRIBUIÇÃO DE GÁS","MG",1
"44","DISTRIBUIÇÃO DE GÁS","MS",1
"45","DISTRIBUIÇÃO DE GÁS","MT",1
"46","DISTRIBUIÇÃO DE GÁS","PA",1
"47","DISTRIBUIÇÃO DE GÁS","PB",1
"48","DISTRIBUIÇÃO DE GÁS","PE",1
